Removed Pin From Net: NetName=5V Pin=C25-1
Removed Pin From Net: NetName=GND Pin=J1-1
Removed Pin From Net: NetName=3.3V Pin=J1-2
Removed Pin From Net: NetName=OLED_SCL Pin=J1-3
Removed Pin From Net: NetName=OLED_SDA Pin=J1-4
Removed Pin From Net: NetName=LED1 Pin=R1-1
Removed Pin From Net: NetName=NetLED1_2 Pin=R1-2
Removed Pin From Net: NetName=LED2 Pin=R2-1
Removed Pin From Net: NetName=NetLED2_2 Pin=R2-2
Removed Pin From Net: NetName=TCK/SWDCLK Pin=U1-8
Removed Pin From Net: NetName=TCK/SWDCLK Pin=U1-50
Removed Pin From Net: NetName=Data0 Pin=U9-4
Change Component Footprint: Designator=CN1 Old Footprint=PinHeader_1x06_P2.54mm_Vertical New Footprint=Romi-header6
Change Component Footprint: Designator=CN2 Old Footprint=PinHeader_2x05_P2.54mm_Vertical New Footprint=Romi_Header5x2
Change Component Footprint: Designator=CN3 Old Footprint=PinHeader_2x08_P2.54mm_Vertical New Footprint=Romi_header8x2
Change Component Footprint: Designator=CN18 Old Footprint=PinSocket_2x20_P2.54mm_Horizontal New Footprint=Raspberry_Pi_2_3
Change Component Footprint: Designator=R1 Old Footprint=RESC0402(1005)_L New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R2 Old Footprint=RESC0402(1005)_L New Footprint=RESC0603(1608)_N
Change Component Comment : Designator=CN1 Old Comment=PinHeader_1x06_P2.54mm_Vertical New Comment=Header 6
Change Component Comment : Designator=CN2 Old Comment=PinHeader_2x05_P2.54mm_Vertical New Comment=Romi-Header 5X2
Change Component Comment : Designator=CN3 Old Comment=PinHeader_2x08_P2.54mm_Vertical New Comment=Romi_Header 8X2
Change Component Comment : Designator=CN18 Old Comment=Raspberry_Pi_2_3 New Comment=Header 20X2
Change Managed Component Library Link : Designator=C14 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C15 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C16 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C17 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C25 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C26 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C27 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C28 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C29 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C30 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C31 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C32 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C33 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C34 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change component parameters: Designator = "CN18" ("CN18"); Footprint = "PinSocket_2x20_P2.54mm_Horizontal"; UniqueID = "\WNUSQSGY" ("\WNUSQSGY")
Change component parameters (AddParameter): Name = "Package (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Max)"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Min)"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (Rated)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "800µm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C30" ("C30"); Footprint = "CAPC0603(1608)_N"; UniqueID = "\FJUTLTNH" ("\FJUTLTNH")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "900µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Max)"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Min)"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (Rated)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "800µm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C31" ("C31"); Footprint = "CAPC0603(1608)_N"; UniqueID = "\QDLNWZFM" ("\QDLNWZFM")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "900µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Max)"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Min)"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (Rated)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "800µm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C32" ("C32"); Footprint = "CAPC0603(1608)_N"; UniqueID = "\KIMDIIIX" ("\KIMDIIIX")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "900µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Max)"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Min)"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (Rated)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "800µm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C33" ("C33"); Footprint = "CAPC0603(1608)_N"; UniqueID = "\TSXPNUFB" ("\TSXPNUFB")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "900µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Max)"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Min)"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (Rated)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "800µm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C34" ("C34"); Footprint = "CAPC0603(1608)_N"; UniqueID = "\ZDBOROUH" ("\ZDBOROUH")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "900µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Max)"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Min)"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (Rated)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "800µm"; VariantName = "[No Variations]"
Added Component: Designator=C8(CAPC0603(1608)_L)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "4000=0.00414, 8000=0.00378, 12000=0.0036, 28000=0.00342, 100000=0.00248 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "2360000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "399-1096-2-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.034" (0.87mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C9(CAPC0603(1608)_L)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "4000=0.00414, 8000=0.00378, 12000=0.0036, 28000=0.00342, 100000=0.00248 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "2360000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "399-1096-2-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.034" (0.87mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C10(CAPC0603(1608)_L)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "4000=0.00414, 8000=0.00378, 12000=0.0036, 28000=0.00342, 100000=0.00248 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "2360000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "399-1096-2-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.034" (0.87mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C11(CAPC0603(1608)_L)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "4000=0.00414, 8000=0.00378, 12000=0.0036, 28000=0.00342, 100000=0.00248 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "2360000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "399-1096-2-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.034" (0.87mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C12(CAPC0603(1608)_L)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.kemet.com/datasheets&C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104K4RACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "4000=0.00414, 8000=0.00378, 12000=0.0036, 28000=0.00342, 100000=0.00248 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "2360000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "399-1096-2-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "0.034" (0.87mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
