Removed Pin From Net: NetName=5V Pin=CN5-1
Removed Pin From Net: NetName=GND Pin=CN6-10
Removed Pin From Net: NetName=5V Pin=CN12-1
Removed Pin From Net: NetName=5V_USB Pin=CN16-1
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=NetLED2_2 Pin=R2-1
Removed Pin From Net: NetName=GND Pin=U1-2
Removed Pin From Net: NetName=SPI_CS_FLASH Pin=U1-41
Removed Pin From Net: NetName=GND Pin=U1-53
Change Component Footprint: Designator=CN16 Old Footprint=10118194-0001LF New Footprint=USB-TYPE-C MOLEX 1054500101
Change Component Comment : Designator=R2 Old Comment=576 New Comment=1.0K
Change Component Comment : Designator=CN5 Old Comment=Header 4 New Comment=SPI1
Change Component Comment : Designator=CN16 Old Comment=MicroUSB New Comment=1054500101
Change Component Comment : Designator=CN12 Old Comment=SONAR-BR New Comment=Header 4
Change component parameters: Designator = "CN16" ("CN16"); Footprint = "10118194-0001LF"; UniqueID = "\JUGYJFEC" ("\JUGYJFEC")
Added Pin To Net: NetName=ENCR_CHA Pin=U1-29
Added Net: Name=ENCR_CHA
Added Pin To Net: NetName=ENCR_CHB Pin=CN14-2
Added Pin To Net: NetName=ENCR_CHB Pin=U1-27
Added Pin To Net: NetName=ENCR_CHB Pin=U1-30
Added Net: Name=ENCR_CHB
Added Pin To Net: NetName=I2C1_SCL Pin=CN17-3
Added Pin To Net: NetName=I2C1_SCL Pin=R9-1
Added Pin To Net: NetName=I2C1_SCL Pin=U1-61
Added Net: Name=I2C1_SCL
Added Pin To Net: NetName=I2C1_SDA Pin=CN17-4
Added Pin To Net: NetName=I2C1_SDA Pin=R10-1
Added Pin To Net: NetName=I2C1_SDA Pin=U1-59
Added Net: Name=I2C1_SDA
Added Pin To Net: NetName=I2C3_SCL Pin=U1-41
Added Pin To Net: NetName=I2C3_SCL Pin=U1-51
Added Net: Name=I2C3_SCL
Added Pin To Net: NetName=I2C3_SDA Pin=U1-40
Added Net: Name=I2C3_SDA
Added Pin To Net: NetName=NetC30_1 Pin=C30-1
Added Pin To Net: NetName=NetC30_1 Pin=U1-3
Added Pin To Net: NetName=NetC30_1 Pin=X2-1
Added Net: Name=NetC30_1
Added Pin To Net: NetName=NetC47_1 Pin=C47-1
Added Pin To Net: NetName=NetC47_1 Pin=U1-4
Added Pin To Net: NetName=NetC47_1 Pin=X2-4
Added Net: Name=NetC47_1
Added Pin To Net: NetName=NetCN16_A5 Pin=CN16-A5
Added Pin To Net: NetName=NetCN16_A5 Pin=R19-2
Added Net: Name=NetCN16_A5
Added Pin To Net: NetName=NetCN16_A6 Pin=CN16-A6
Added Pin To Net: NetName=NetCN16_A6 Pin=CN16-B6
Added Pin To Net: NetName=NetCN16_A6 Pin=U3-5
Added Net: Name=NetCN16_A6
Added Pin To Net: NetName=NetCN16_A7 Pin=CN16-A7
Added Pin To Net: NetName=NetCN16_A7 Pin=CN16-B7
Added Pin To Net: NetName=NetCN16_A7 Pin=U3-6
Added Net: Name=NetCN16_A7
Added Pin To Net: NetName=NetCN16_B5 Pin=CN16-B5
Added Pin To Net: NetName=NetCN16_B5 Pin=R20-2
Added Net: Name=NetCN16_B5
Added Pin To Net: NetName=NetLED2_1 Pin=LED2-1
Added Pin To Net: NetName=NetLED2_1 Pin=R2-1
Added Net: Name=NetLED2_1
Added Pin To Net: NetName=RXO Pin=P1-8
Added Net: Name=RXO
Added Pin To Net: NetName=SPI1_SCK Pin=U1-55
Added Pin To Net: NetName=SPI1_SCK Pin=U2-6
Added Net: Name=SPI1_SCK
Added Pin To Net: NetName=TRIG_CTR Pin=CN11-2
Added Pin To Net: NetName=TRIG_CTR Pin=U1-39
Added Net: Name=TRIG_CTR
Added Pin To Net: NetName=TRIGL Pin=CN9-2
Added Pin To Net: NetName=TRIGL Pin=U1-45
Added Net: Name=TRIGL
Added Pin To Net: NetName=TRIGR Pin=CN10-2
Added Pin To Net: NetName=TRIGR Pin=U1-43
Added Net: Name=TRIGR
Added Pin To Net: NetName=TXO Pin=P1-1
Added Net: Name=TXO
